author_id;text;retweet_count;reply_count;like_count;quote_count;id;created_at
143636485;@churubustepeyac @santiolvera_a @GobCDMX Efectivamente a eso me refiero. Será a la par con la vacunación? O después?;0;0;0;0;1377104013619982340;2021-03-31T03:42:36.000Z
185616267;@RicardoNAyala1 deberían de haber coordinado la vacunación covid mínimo por colonias todavía no empieza y ya esta el relajo;0;0;0;0;1377103910951813127;2021-03-31T03:42:12.000Z
185616267;@GobIzcalli que onda con la logística, de la vacunación en izcalli mínimo por colonia ya es un relajó;1;0;1;0;1377103614716481542;2021-03-31T03:41:01.000Z
1139603090;@aibarra8a Las personas no lo transmiten, pero las vacunadas si son portadoras para las que no tienen vacuna aún. La protección es para ti no para las demás personas.;0;0;0;0;1377103537474129929;2021-03-31T03:40:43.000Z
112499383;Corre por la vacuna ya toca..jajajaja https://t.co/lOvD5ZlaiT;0;1;1;0;1377103268661190656;2021-03-31T03:39:39.000Z
3476351772;Yo despues del covid https://t.co/23qf2pum5e;0;0;0;0;1377102526613389323;2021-03-31T03:36:42.000Z
1225644994700046338;Vivir en un país donde los profesores no te dejan faltar un día a su clase para que vayas de voluntario a una campaña de vacunación 🙃👌;0;2;1;0;1377101123106992135;2021-03-31T03:31:07.000Z
1367274803867111425;Amigas, si aún no encuentran Sugar daddy, es momento de ir a los puestos de vacunación 🤣;0;0;0;0;1377100997865050112;2021-03-31T03:30:37.000Z
3277217761;@enriquemunozFM Primero habrá que acabar de vacunar a los trabajadores del sector salud, público y privado.;0;0;2;0;1377100591638274056;2021-03-31T03:29:00.000Z
2342621209;Me pondré un gafete que diga:   ES ALERGIA NO COVID.;0;0;4;0;1377100161113989127;2021-03-31T03:27:18.000Z
335001979;Pasado mañana debía empezar la vacunación para 50-59 años. Ni con las vacunas que regaló Biden pudieron!  @lopezobrador_ @m_ebrard @reformaciudad @DeniseDresserG @SSalud_mx @JesusRCuevas @ https://t.co/QclVdbjVwT;0;0;0;0;1377099679750483971;2021-03-31T03:25:23.000Z
353194362;🔴EN VIVO en #ExpedienteAbierto 🗂️📁  🚨Una muerta, 52 desmayados #VacunaCOVID19 👨🏽‍✈️Detienen a militar que asesinó a Guatemalteco 🤷🏽‍♀️Entre reproches autorizan licencia @RiveraVivanco_ 🟣Karina Pérez en reelección 😨7 presidentes municipales muertos #COVID19  https://t.co/ngqj700DLt https://t.co/EFJsb8gTFN;2;1;4;1;1377099417040248838;2021-03-31T03:24:20.000Z
379842988;🚧 CIERRES A LA CIRCULACIÓN EN #TULA POR VACUNACIÓN   Calendario de vacunación 👇  https://t.co/Ex81xiLz5w;0;0;0;0;1377098392480845831;2021-03-31T03:20:16.000Z
8091552;Cambian plan de vacunación contra COVID-19 en Torreón https://t.co/XoSVTUynbd;0;0;1;0;1377094808502689793;2021-03-31T03:06:02.000Z
1010646542678495234;Se me olvidó que las deudas y pagos no dan tregua.....a esos les vale madres si estás moribundo, col covid, pobre, jodido, derrotado......SAT, IMSS.....implacables. Podrían ponerle el pie sobre la cabeza de Jesús con todo y corona de espinas....😞😑;0;0;0;0;1377094751409876995;2021-03-31T03:05:48.000Z
1152375170914553856;@Edomex #estrategiadevacunacion que padre que ya van por la segunda dosis de vacunación;0;0;0;0;1377094132611563520;2021-03-31T03:03:21.000Z
1176193280662474755;https://t.co/teDkoiapL5 Bueno, los empresarios estarán felices de ver quebrar sus empresas y los empleados encantados de quedar desempleados VIVA LA PLANDEMIA;0;0;0;0;1377093281063051270;2021-03-31T02:59:58.000Z
817469980786696194;Regresamos a semáforo amarillo, se disminuyeron las estadísticas de la #COVID19  en nuestro estado. #SígueteCuidando #UsaCubrebocas https://t.co/wPi1jeIxnB;0;0;1;0;1377091990542811136;2021-03-31T02:54:50.000Z
266358983;Hoy vacunaron a mi suegra de 99 años, excelente organización en área de vacunación, personal médico y enfermeras de @Tu_IMSS, con su experiencia regalaron confianza. Me preguntó que sería de nosotros en esta pandemia si 🇲🇽 hubiera privatizado la atención a la salud 😯;0;0;0;0;1377091726238756866;2021-03-31T02:53:47.000Z
326431455;"@beatriz_rzm @StratCons No seas taaaannn p3ndej4. Es OBLIGACION de este pvt0 ""gobierno"" de 💩 vacunar y ya!!!! 😡😡😡😡😡😡😡";0;0;0;0;1377090929748754433;2021-03-31T02:50:37.000Z
1363673933170565124;A mi lo que me mortifica mucho, mucho, mucho es que a los vacunadores no les ponen guantes, no estoy segura de que en mi infinita locura me deje yo vacunar sin guantes, yo les voy a llevar una caja de guantes para que me vacunen y a los que les toque detrás de mi. Es en serio. https://t.co/nwBCoiPrMj;0;0;1;0;1377090484796063749;2021-03-31T02:48:51.000Z
189223682;@beatriz_rzm @StratCons Si tiene su INE y se acredita, vacunenlos .. no puede nadie ocultar la edad... idiotas ..nadie se va vacunar, si ya fue vacunado.  Pinches morenitos!;0;0;0;0;1377089845403738116;2021-03-31T02:46:18.000Z
31197234;@JoseIgnacioQu19 @tallabs10 @Claudiashein @AlbertoEsteva @AlcaldiaAO Pero por la gente, había una señora bien orgullosa diciendo que llegó desde la madrugada porque quería ver si la vacunaban porque se iba de vacaciones y le tocaba el fin la vacuna, otros más yendo con toda la familia o yendo mil horas antes cuando dice 20 min;0;0;0;0;1377089235543597059;2021-03-31T02:43:53.000Z
3169052900;Felicidad es...mamá tiene la 1a dosis de #AstraZeneca   Me dice que excelente trabajo de coordinación, estuvo menos de 2 hrs en la Alberca Olímpica en la @BJAlcaldia y que la trataron muy bien 👩‍🦳  GRACIAS 🙂🙌 @GobCDMX  #Vacunas #COVID19 https://t.co/ZdHDmpATRQ;0;2;12;1;1377089002822631430;2021-03-31T02:42:58.000Z
140538665;Si te gusta Chayanne pasa a tu módulo de vacunación.;1;0;5;1;1377088948401491973;2021-03-31T02:42:45.000Z
280157620;Confirmando resultado negativo de COVID,  con 5 kms en intervalos con @juanlbarrios aplicación NRC   #JustDoIt #SumandoKms #EntreRunners   #ElegíCorrer #YoElegíCorrer #DiosCorreConmigo  #CorreVIVESiente #CorrerMeHaEnseñado  #MeEncantaCorrer  #ViveMejor #ViveSano #MuereSano https://t.co/T4Zj5U3Ewr;0;0;7;0;1377088757850107905;2021-03-31T02:41:59.000Z
333795246;Emeequis #ÚLTIMAHORA: Estas son las cifras #COVID19 en México:  •  2,232,910 casos (5,068 más que ayer)  •  202,633 defunciones (807 más que ayer) •  31,865 casos activos estimados •  1,769,256 personas recuperadas;1;1;0;0;1377088133808857088;2021-03-31T02:39:30.000Z
131909208;#Oaxaca| Las comunidades que decidieron oponerse a la vacunación reflejan la incertidumbre que hay en la zona rural de aquel estado sobre la vacuna contra el Covid-19 #RedColaborativadeInformación   https://t.co/kgO8aWYch7 https://t.co/aJFOkadGaU;0;0;0;0;1377087583897976835;2021-03-31T02:37:19.000Z
1247540770682228738;@telediario buenas  noches !! En cuautitlan izcalli  no  hay  organizacion  pra la vacuna covid19.. van  a  empezar a ponerla mañana  pero  a nuestro  alcalde se le ocurrio  que  como  se fuera llegando..  y ya  desde ahorita hay  gente formada  sin  ninguna medida  de sanidad !!;0;0;1;0;1377085920927744001;2021-03-31T02:30:43.000Z
1033563641151410177;A que hora felicitan a @RodrigoAbdalaD por corregir el tema y tener una vacunacion adecuada, casi ejemplar el día de hoy... 🤣🤣🤣🤣🤣 saludos a mi amigo https://t.co/sfYgNYhb2o;0;0;4;0;1377084858095312897;2021-03-31T02:26:29.000Z
113221661;@ReyesFloresH Buena noche,  aquí en Torreón que día va a iniciar  la vacunación para adultos de 70 a 79 años?;0;0;0;0;1377084613290512397;2021-03-31T02:25:31.000Z
